whereItHappened,ts,f0_
connections,2024-07-01T09:23:00,46716
connections,2024-07-01T09:24:00,46433
connections,2024-07-01T09:25:00,46254
connections,2024-07-01T09:26:00,46173
connections,2024-07-01T09:27:00,45717
connections,2024-07-01T09:28:00,45771
connections,2024-07-01T09:29:00,45948
connections,2024-07-01T09:30:00,45408
connections,2024-07-01T09:31:00,45040
connections,2024-07-01T09:32:00,45394
connections,2024-07-01T09:33:00,45341
connections,2024-07-01T09:34:00,45525
connections,2024-07-01T09:35:00,45263
connections,2024-07-01T09:36:00,45381
connections,2024-07-01T09:37:00,44812
connections,2024-07-01T09:38:00,45095
connections,2024-07-01T09:39:00,45004
connections,2024-07-01T09:40:00,45246
connections,2024-07-01T09:41:00,44902
connections,2024-07-01T09:42:00,45008
connections,2024-07-01T09:43:00,44682
connections,2024-07-01T09:44:00,44822
connections,2024-07-01T09:45:00,44792
connections,2024-07-01T09:46:00,44343
connections,2024-07-01T09:47:00,44360
connections,2024-07-01T09:48:00,44108
connections,2024-07-01T09:49:00,44180
connections,2024-07-01T09:50:00,44166
connections,2024-07-01T09:51:00,44047
connections,2024-07-01T09:52:00,44414
connections,2024-07-01T09:53:00,43805
connections,2024-07-01T09:54:00,43616
connections,2024-07-01T09:55:00,43404
connections,2024-07-01T09:56:00,43429
connections,2024-07-01T09:57:00,43188
connections,2024-07-01T09:58:00,42735
connections,2024-07-01T09:59:00,42871
connections,2024-07-01T10:00:00,42358
connections,2024-07-01T10:01:00,42109
connections,2024-07-01T10:02:00,42026
connections,2024-07-01T10:03:00,41983
connections,2024-07-01T10:04:00,42322
connections,2024-07-01T10:05:00,42478
connections,2024-07-01T10:06:00,42506
connections,2024-07-01T10:07:00,42433
connections,2024-07-01T10:08:00,42801
connections,2024-07-01T10:09:00,42957
connections,2024-07-01T10:10:00,42576
connections,2024-07-01T10:11:00,42556
connections,2024-07-01T10:12:00,42376
connections,2024-07-01T10:13:00,42391
connections,2024-07-01T10:14:00,42285
connections,2024-07-01T10:15:00,41786
connections,2024-07-01T10:16:00,41602
connections,2024-07-01T10:17:00,41661
connections,2024-07-01T10:18:00,41117
connections,2024-07-01T10:19:00,41053
connections,2024-07-01T10:20:00,40958
connections,2024-07-01T10:21:00,40882
connections,2024-07-01T10:22:00,40948
connections,2024-07-01T10:23:00,40695
connections,2024-07-01T10:24:00,40858
connections,2024-07-01T10:25:00,40677
connections,2024-07-01T10:26:00,40713
connections,2024-07-01T10:27:00,40560
connections,2024-07-01T10:28:00,40595
connections,2024-07-01T10:29:00,40166
connections,2024-07-01T10:30:00,39543
connections,2024-07-01T10:31:00,39253
connections,2024-07-01T10:32:00,39043
connections,2024-07-01T10:33:00,38683
connections,2024-07-01T10:34:00,38842
connections,2024-07-01T10:35:00,38872
connections,2024-07-01T10:36:00,38611
connections,2024-07-01T10:37:00,38510
connections,2024-07-01T10:38:00,38746
connections,2024-07-01T10:39:00,38770
connections,2024-07-01T10:40:00,38578
connections,2024-07-01T10:41:00,38179
connections,2024-07-01T10:42:00,38386
connections,2024-07-01T10:43:00,38232
connections,2024-07-01T10:44:00,38193
connections,2024-07-01T10:45:00,37878
connections,2024-07-01T10:46:00,37927
connections,2024-07-01T10:47:00,37113
connections,2024-07-01T10:48:00,37345
connections,2024-07-01T10:49:00,37470
connections,2024-07-01T10:50:00,37504
connections,2024-07-01T10:51:00,37399
connections,2024-07-01T10:52:00,37075
connections,2024-07-01T10:53:00,37292
connections,2024-07-01T10:54:00,37258
connections,2024-07-01T10:55:00,37034
connections,2024-07-01T10:56:00,36744
connections,2024-07-01T10:57:00,36545
connections,2024-07-01T10:58:00,36352
connections,2024-07-01T10:59:00,35917
connections,2024-07-01T11:00:00,35616
connections,2024-07-01T11:01:00,35330
connections,2024-07-01T11:02:00,35180
connections,2024-07-01T11:03:00,34961
connections,2024-07-01T11:04:00,35208
connections,2024-07-01T11:05:00,35249
connections,2024-07-01T11:06:00,34998
connections,2024-07-01T11:07:00,34986
connections,2024-07-01T11:08:00,35087
connections,2024-07-01T11:09:00,35039
connections,2024-07-01T11:10:00,35253
connections,2024-07-01T11:11:00,34838
connections,2024-07-01T11:12:00,35078
connections,2024-07-01T11:13:00,34687
connections,2024-07-01T11:14:00,34864
connections,2024-07-01T11:15:00,34561
connections,2024-07-01T11:16:00,34730
connections,2024-07-01T11:17:00,34372
connections,2024-07-01T11:18:00,34297
connections,2024-07-01T11:19:00,34294
connections,2024-07-01T11:20:00,33963
connections,2024-07-01T11:21:00,34219
connections,2024-07-01T11:22:00,34052
connections,2024-07-01T11:23:00,34104
connections,2024-07-01T11:24:00,33898
connections,2024-07-01T11:25:00,33784
connections,2024-07-01T11:26:00,33284
connections,2024-07-01T11:27:00,33534
connections,2024-07-01T11:28:00,33167
connections,2024-07-01T11:29:00,33002
connections,2024-07-01T11:30:00,32833
connections,2024-07-01T11:31:00,32845
connections,2024-07-01T11:32:00,32852
connections,2024-07-01T11:33:00,32683
connections,2024-07-01T11:34:00,32959
connections,2024-07-01T11:35:00,32671
connections,2024-07-01T11:36:00,32641
connections,2024-07-01T11:37:00,32678
connections,2024-07-01T11:38:00,32367
connections,2024-07-01T11:39:00,32454
connections,2024-07-01T11:40:00,32463
connections,2024-07-01T11:41:00,32567
connections,2024-07-01T11:42:00,32402
connections,2024-07-01T11:43:00,32271
connections,2024-07-01T11:44:00,31982
connections,2024-07-01T11:45:00,31922
connections,2024-07-01T11:46:00,31549
connections,2024-07-01T11:47:00,31519
connections,2024-07-01T11:48:00,31644
connections,2024-07-01T11:49:00,31431
connections,2024-07-01T11:50:00,31677
connections,2024-07-01T11:51:00,31557
connections,2024-07-01T11:52:00,31237
connections,2024-07-01T11:53:00,31157
connections,2024-07-01T11:54:00,31066
connections,2024-07-01T11:55:00,31123
connections,2024-07-01T11:56:00,31097
connections,2024-07-01T11:57:00,31067
connections,2024-07-01T11:58:00,30785
connections,2024-07-01T11:59:00,30363
connections,2024-07-01T12:00:00,30228
connections,2024-07-01T12:01:00,29850
connections,2024-07-01T12:02:00,29787
connections,2024-07-01T12:03:00,29894
connections,2024-07-01T12:04:00,30183
connections,2024-07-01T12:05:00,30128
connections,2024-07-01T12:06:00,30336
connections,2024-07-01T12:07:00,30344
connections,2024-07-01T12:08:00,30279
connections,2024-07-01T12:09:00,30269
connections,2024-07-01T12:10:00,30277
connections,2024-07-01T12:11:00,30405
connections,2024-07-01T12:12:00,30355
